Date : 2020-09-29 10:43:28
Directory : c:\Users\vasco\git\sistema-condominio.herokuapp.com
Total : 169 files,  25829 codes, 460 comments, 1373 blanks, all 27662 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
+-------------+------------+------------+------------+------------+------------+
| JSON        |          7 |     17,788 |          0 |          5 |     17,793 |
| Java        |         74 |      3,269 |        223 |        522 |      4,014 |
| Vue         |         33 |      2,784 |          6 |        287 |      3,077 |
| JavaScript  |         35 |      1,081 |          8 |        202 |      1,291 |
| SQL         |          2 |        395 |        199 |        202 |        796 |
| Django txt  |         10 |        157 |          0 |         69 |        226 |
| Batch       |          1 |        147 |          0 |         36 |        183 |
| XML         |          1 |        101 |          8 |          3 |        112 |
| Properties  |          3 |         44 |         16 |         20 |         80 |
| Markdown    |          2 |         39 |          0 |         23 |         62 |
| Django HTML |          1 |         24 |          0 |          4 |         28 |
+-------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                     | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                        |        169 |     25,829 |        460 |      1,373 |     27,662 |
| client                                                                                                                                                                                   |         46 |     16,437 |          7 |        329 |     16,773 |
| client\public                                                                                                                                                                            |          1 |         24 |          0 |          4 |         28 |
| client\src                                                                                                                                                                               |         41 |      2,979 |          7 |        317 |      3,303 |
| client\src\components                                                                                                                                                                    |         32 |      2,694 |          6 |        272 |      2,972 |
| client\src\components\admin                                                                                                                                                              |          7 |        920 |          2 |         28 |        950 |
| client\src\components\auth                                                                                                                                                               |          1 |        124 |          0 |         19 |        143 |
| client\src\components\aviso                                                                                                                                                              |          3 |        190 |          0 |         23 |        213 |
| client\src\components\condomino                                                                                                                                                          |          3 |        205 |          1 |         23 |        229 |
| client\src\components\estacionamento                                                                                                                                                     |          3 |        205 |          0 |         23 |        228 |
| client\src\components\home                                                                                                                                                               |          4 |        324 |          0 |         54 |        378 |
| client\src\components\noticia                                                                                                                                                            |          3 |        190 |          0 |         23 |        213 |
| client\src\components\template                                                                                                                                                           |          8 |        536 |          3 |         79 |        618 |
| client\src\config                                                                                                                                                                        |          6 |        167 |          0 |         22 |        189 |
| nodeServer                                                                                                                                                                               |         28 |      5,230 |          7 |        173 |      5,410 |
| nodeServer\api                                                                                                                                                                           |         10 |        598 |          3 |        115 |        716 |
| nodeServer\config                                                                                                                                                                        |          6 |        121 |          1 |         24 |        146 |
| nodeServer\migrations                                                                                                                                                                    |          7 |         99 |          0 |         21 |        120 |
| nodeServer\schedule                                                                                                                                                                      |          1 |         29 |          3 |          6 |         38 |
| server                                                                                                                                                                                   |         91 |      3,742 |        247 |        650 |      4,639 |
| server\sistema-condominio                                                                                                                                                                |         91 |      3,742 |        247 |        650 |      4,639 |
| server\sistema-condominio\.mvn                                                                                                                                                           |          2 |         78 |         31 |         12 |        121 |
| server\sistema-condominio\.mvn\wrapper                                                                                                                                                   |          2 |         78 |         31 |         12 |        121 |
| server\sistema-condominio\bin                                                                                                                                                            |         39 |      1,961 |          6 |         79 |      2,046 |
| server\sistema-condominio\bin\src                                                                                                                                                        |         39 |      1,961 |          6 |         79 |      2,046 |
| server\sistema-condominio\bin\src\main                                                                                                                                                   |         38 |      1,952 |          6 |         74 |      2,032 |
| server\sistema-condominio\bin\src\main\java                                                                                                                                              |         36 |      1,919 |          0 |         66 |      1,985 |
| server\sistema-condominio\bin\src\main\java\com                                                                                                                                          |         36 |      1,919 |          0 |         66 |      1,985 |
| server\sistema-condominio\bin\src\main\java\com\siscondominio                                                                                                                            |         36 |      1,919 |          0 |         66 |      1,985 |
| server\sistema-condominio\bin\src\main\java\com\siscondominio\config                                                                                                                     |          2 |        124 |          0 |          9 |        133 |
| server\sistema-condominio\bin\src\main\java\com\siscondominio\dto                                                                                                                        |          3 |        132 |          0 |          3 |        135 |
| server\sistema-condominio\bin\src\main\java\com\siscondominio\endpoint                                                                                                                   |          1 |        135 |          0 |          1 |        136 |
| server\sistema-condominio\bin\src\main\java\com\siscondominio\enums                                                                                                                      |          1 |         32 |          0 |          1 |         33 |
| server\sistema-condominio\bin\src\main\java\com\siscondominio\model                                                                                                                      |          2 |        247 |          0 |          2 |        249 |
| server\sistema-condominio\bin\src\main\java\com\siscondominio\repository                                                                                                                 |          1 |         21 |          0 |          1 |         22 |
| server\sistema-condominio\bin\src\main\java\com\siscondominio\resources                                                                                                                  |          4 |        213 |          0 |          4 |        217 |
| server\sistema-condominio\bin\src\main\java\com\siscondominio\resources\exception                                                                                                        |          3 |        136 |          0 |          3 |        139 |
| server\sistema-condominio\bin\src\main\java\com\siscondominio\security                                                                                                                   |          5 |        418 |          0 |          5 |        423 |
| server\sistema-condominio\bin\src\main\java\com\siscondominio\services                                                                                                                   |         14 |        544 |          0 |         35 |        579 |
| server\sistema-condominio\bin\src\main\java\com\siscondominio\services\exceptions                                                                                                        |          2 |         38 |          0 |          2 |         40 |
| server\sistema-condominio\bin\src\main\java\com\siscondominio\services\validation                                                                                                        |          2 |        106 |          0 |          2 |        108 |
| server\sistema-condominio\bin\src\main\java\com\siscondominio\util                                                                                                                       |          2 |         33 |          0 |          4 |         37 |
| server\sistema-condominio\bin\src\main\resources                                                                                                                                         |          2 |         33 |          6 |          8 |         47 |
